,decimalLatitude,decimalLongitude,elevation,date
966,47.40597,9.33378,685.5,2003-01-01 00:00:00
967,46.61812,7.26788,1510.0,2003-01-01 00:00:00
970,46.18401,6.12331,385.0,2003-03-23 00:00:00
971,46.81955,9.26549,1080.0,2003-07-01 00:00:00
976,46.32566,6.93224,382.5,2003-01-01 00:00:00
984,47.25332,9.30484,1295.5,2003-01-01 00:00:00
986,46.81039,9.85629,1589.5,2003-01-01 00:00:00
989,47.41395,9.49068,923.5,2003-01-01 00:00:00
994,46.4681,9.64955,1769.0,2003-08-12 00:00:00
996,46.46471,9.68457,1906.0,2003-08-12 00:00:00
1003,46.69735,8.23357,645.0,2003-01-01 00:00:00
1006,46.54435,6.84022,670.0,2003-01-01 00:00:00
1011,47.43803,7.11238,500.0,2003-05-24 00:00:00
1012,46.2772,6.15295,470.0,2003-01-01 00:00:00
1013,47.44709,7.10437,485.0,2003-05-24 00:00:00
1014,47.36371,8.70831,461.0,2003-05-24 00:00:00
1015,47.34519,8.71555,463.0,2003-06-01 00:00:00
1016,46.87866,7.49992,524.0,2003-01-01 00:00:00
1017,47.33781,8.74806,529.0,2003-06-06 00:00:00
1018,47.35791,8.72439,485.0,2003-05-09 00:00:00
1019,47.3284,8.74518,505.0,2003-06-18 00:00:00
1020,46.9218,7.48188,509.0,2003-01-01 00:00:00
1021,47.36167,8.73064,487.0,2003-05-17 00:00:00
1022,46.84084,7.50716,530.5,2003-01-01 00:00:00
1024,47.34339,8.71623,459.5,2003-05-24 00:00:00
1025,47.33828,8.74688,526.0,2003-06-17 00:00:00
1026,47.36489,8.73237,500.0,2003-05-09 00:00:00
1027,47.37045,8.70933,464.5,2003-06-20 00:00:00
1028,47.33235,8.73826,486.0,2003-06-15 00:00:00
1029,46.91898,7.48881,508.0,2003-01-01 00:00:00
1030,47.33243,8.71094,439.5,2003-05-24 00:00:00
1031,46.80059,7.51756,564.0,2003-01-01 00:00:00
1032,47.34542,8.71529,462.5,2003-05-24 00:00:00
1033,46.82592,7.32133,666.0,2003-08-20 00:00:00
1034,47.36145,8.72633,482.0,2003-05-24 00:00:00
1036,47.33356,8.72612,445.5,2003-06-21 00:00:00
1037,46.84514,7.50341,530.5,2003-01-01 00:00:00
1038,47.36224,8.7474,562.5,2003-05-17 00:00:00
1039,46.65693,7.43602,836.0,2003-08-05 00:00:00
1042,46.48662,8.26434,1359.0,2003-08-22 00:00:00
1045,47.48634,8.96224,527.0,2003-09-09 00:00:00
1046,46.76289,7.1157,578.0,2003-06-18 00:00:00
1048,47.42414,9.04379,660.0,2003-09-28 00:00:00
1053,46.74886,9.55502,1535.0,2003-08-11 00:00:00
1056,46.76744,9.80092,1500.0,2003-08-01 00:00:00
1060,47.45351,9.65467,394.0,2003-10-19 00:00:00
1061,47.02403,8.63305,461.0,2003-09-03 00:00:00
1062,46.60004,7.21286,894.0,2003-08-18 00:00:00
1064,46.60928,10.37102,1650.0,2003-07-23 00:00:00
1067,46.03204,7.10517,1490.0,2003-07-11 00:00:00
1069,46.55317,9.32301,1457.0,2003-08-13 00:00:00
1071,47.4354,8.69265,503.0,2003-01-01 00:00:00
1072,47.43854,9.07557,568.0,2003-07-30 00:00:00
1073,46.62345,7.18404,1035.0,2003-08-19 00:00:00
1076,46.75144,10.07886,1430.0,2003-07-15 00:00:00
1077,46.80789,9.82472,1814.0,2003-01-01 00:00:00
